City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Thompson,CA,55.7435,-97.8558,19.56,93,100,5.75
1,Medicine Hat,CA,50.0501,-110.6683,37.83,70,75,9.22
2,Ushuaia,AR,-54.8,-68.3,44.26,93,40,8.05
3,Avarua,CK,-21.2078,-159.775,78.85,65,40,20.71
4,Mar Del Plata,AR,-38.0023,-57.5575,61.09,86,20,21.99
5,Ribeira Grande,PT,38.5167,-28.7,64.78,87,100,5.01
6,Kapaa,US,22.0752,-159.319,85.98,84,75,10.36
7,Yellowknife,CA,62.456,-114.3525,10.92,85,75,10.36
8,Griffith,US,41.5284,-87.4237,71.89,63,0,21.85
9,Bairiki,KI,1.3292,172.9752,86.0,74,20,9.22
10,Taltal,CL,-25.4,-70.4833,59.68,78,7,5.44
11,Bethel,US,41.3712,-73.414,61.86,80,98,1.01
12,Aranos,NA,-24.1333,19.1167,64.08,28,0,10.98
13,Grinnell,US,41.743,-92.7224,42.78,97,100,8.05
14,Dunedin,NZ,-45.8742,170.5036,57.79,49,82,15.01
15,Busselton,AU,-33.65,115.3333,62.58,54,0,9.42
16,Nikolskoye,RU,59.7035,30.7861,26.49,88,17,3.71
17,Christchurch,NZ,-43.5333,172.6333,62.42,63,75,18.41
18,Krasni Okny,UA,47.5404,29.46,50.05,81,100,11.36
19,Isangel,VU,-19.55,169.2667,86.11,79,40,4.61
20,Hambantota,LK,6.1241,81.1185,75.54,100,40,1.14
21,Sobolevo,RU,54.4299,31.8996,28.27,79,6,6.35
22,Robertsport,LR,6.7533,-11.3686,79.5,81,100,3.56
23,Puerto Ayora,EC,-0.7393,-90.3518,67.06,80,93,11.86
24,Clyde River,CA,70.4692,-68.5914,7.03,72,0,21.85
25,Cocobeach,GA,1.0002,9.5823,78.87,82,100,2.68
26,Nome,US,64.5011,-165.4064,21.27,63,0,6.91
27,Lompoc,US,34.6391,-120.4579,64.02,52,0,18.41
28,Saint George,US,37.1041,-113.5841,55.44,29,0,12.66
29,Bluff,NZ,-46.6,168.3333,50.76,61,87,23.17
30,Vaini,TO,-21.2,-175.2,82.56,69,20,11.5
31,New Norfolk,AU,-42.7826,147.0587,64.71,49,2,3.0
32,Iqaluit,CA,63.7506,-68.5145,20.93,53,75,5.75
33,Hilo,US,19.7297,-155.09,78.62,85,75,5.75
34,Mala,PE,-12.6581,-76.6308,64.02,83,24,6.53
35,Chokurdakh,RU,70.6333,147.9167,-10.88,91,100,3.69
36,Jamestown,US,42.097,-79.2353,67.59,66,0,10.36
37,Tres Arroyos,AR,-38.3739,-60.2798,60.22,47,97,10.85
38,High Level,CA,58.5169,-117.136,15.91,92,75,8.05
39,Lyuban,BY,52.7985,28.0048,36.1,95,11,9.62
40,Tabuk,PH,17.4189,121.4443,79.18,77,67,2.33
41,Mataura,NZ,-46.1927,168.8643,53.98,52,82,11.45
42,Severo-Kurilsk,RU,50.6789,156.125,39.34,73,90,19.66
43,Torbay,CA,47.6666,-52.7314,44.38,94,0,8.05
44,Ruwi,OM,23.5996,58.5507,78.49,51,27,3.31
45,Ust-Tsilma,RU,65.441,52.1498,12.29,96,56,3.0
46,Vysokogornyy,RU,50.1167,139.15,20.95,71,99,5.68
47,Longyearbyen,SJ,78.2186,15.6401,30.04,80,75,5.75
48,Punta Arenas,CL,-53.15,-70.9167,55.51,71,75,8.05
49,Dombarovskiy,RU,50.7587,59.5386,22.51,94,84,9.42
50,Sotik,KE,-0.6833,35.1187,55.58,93,100,2.71
51,Lebu,CL,-37.6167,-73.65,51.3,90,100,6.11
52,Baruun-Urt,MN,46.6806,113.2792,26.82,45,93,6.46
